gene	transcript_abund
KPN_01194	157.586
KPN_01195	180.802
KPN_01196	182.488
KPN_01197	209.595
KPN_01198	87.288
KPN_01199	58.495
KPN_01200	70.687
KPN_01201	256.676
KPN_01202	130.608
KPN_01203	209.725
KPN_01204	380.41
KPN_01205	111.023
KPN_01206	156.937
KPN_01207	212.319
KPN_01208	397.79
KPN_01209	200.387
KPN_01210	272.759
KPN_01211	83.786
KPN_01212	127.236
KPN_01213	268.22
KPN_01214	128.662
KPN_01215	314.263
KPN_01216	242.28
KPN_01217	114.006
KPN_01218	144.356
KPN_01219	133.98
KPN_01220	164.849
KPN_01221	253.175
KPN_01222	215.821
KPN_01223	304.665
KPN_01224	271.722
KPN_01225	199.349
KPN_01226	100.777
KPN_01227	176.392
KPN_01228	171.723
KPN_01229	72.113
KPN_01230	56.679
KPN_01231	254.99
KPN_01232	70.168
KPN_01233	167.443
KPN_01234	276.391
KPN_01235	154.862
KPN_01236	469.255
KPN_01237	67.703
KPN_01238	284.043
KPN_01239	120.232
KPN_01240	156.029
KPN_01241	135.277
KPN_01242	108.559
KPN_01243	74.967
KPN_01244	448.762
KPN_01245	109.337
KPN_01246	151.49
KPN_01247	84.046
KPN_01248	142.151
KPN_01249	136.315
KPN_01250	470.163
KPN_01251	194.161
KPN_01252	98.053
KPN_01253	165.886
KPN_01254	245.782
KPN_01255	277.169
KPN_01256	326.974
KPN_01257	319.711
KPN_01258	171.853
KPN_01259	127.625
KPN_01260	182.358
KPN_01261	85.343
KPN_01262	282.227
KPN_01263	103.241
KPN_01264	47.6
KPN_01265	184.044
KPN_01266	119.583
KPN_01267	163.941
KPN_01268	220.101
KPN_01269	52.918
KPN_01270	542.665
KPN_01271	198.96
KPN_01272	559.396
KPN_01273	123.864
KPN_01274	156.029
KPN_01275	62.256
KPN_01276	239.556
KPN_01277	139.557
KPN_01278	66.277
KPN_01279	29.442
KPN_01280	153.176
KPN_01281	36.057
KPN_01282	396.363
KPN_01283	235.795
KPN_01284	166.665
KPN_01285	112.45
KPN_01286	281.449
KPN_01287	166.146
KPN_01288	204.148
KPN_01289	178.986
KPN_01290	197.793
KPN_01291	336.961
KPN_01292	171.723
KPN_01293	474.832
KPN_01294	239.945
KPN_01295	284.432
KPN_01296	201.813
