reaction	linear_coefficient
EAR100y	0.5
EAR140x	0.5
EAR181x	0.5
CPC4MT	0.5
CPC5MT	0.5
ALLTN	0.5
CPC6MT	0.5
ALLULPE	0.5
ECAtpp	0.5
CPC6R	0.5
CPC8MM	0.5
ALPATG160pp	0.5
ALPATE160pp	0.5
CPPPGO	0.5
ECOAH7	0.5
HACD8i	0.5
ECOAH5	0.5
HACD4i	0.5
CTECOAI7	0.5
ECOAH3	0.5
HACD7i	0.5
CTECOAI8	0.5
HACD2i	0.5
ECOAH1	0.5
HACD5i	0.5
HACD6i	0.5
ECOAH4	0.5
CTECOAI6	0.5
ECOAH8	0.5
ECOAH2	0.5
HACD3i	0.5
ECOAH6	0.5
HACD1i	0.5
CPPPGO2	0.5
ALR2	0.5
DKGLCNR1	0.5
EDA	0.5
EDD	0.5
CRNDabcpp	0.5
PROabcpp	0.5
CTBTabcpp	0.5
CRNabcpp	0.5
EDTXS1	0.5
EDTXS2	0.5
EDTXS4	0.5
ALR4x	0.5
GLYCDx	0.5
LALDO2x	0.5
EDTXS3	0.5
PROt2rpp	0.5
CRNDt2rpp	0.5
CTBTt2rpp	0.5
CRNt2rpp	0.5
ALTRH	0.5
ENO	0.5
AMALT2	0.5
AMALT3	0.5
AMALT4	0.5
AMALT1	0.5
CS	0.5
AMANAPEr	0.5
ENTCS	0.5
AMAOTr	0.5
ENTERES	0.5
ENTERES2	0.5
CSND	0.5
AMMQLT8	0.5
OMBZLM	0.5
ETHAAL	0.5
AMPMS2	0.5
ETHAt	0.5
CSNt2pp	0.5
AMPN	0.5
CTPS2	0.5
FEROpp	0.5
CU1Opp	0.5
F6PA	0.5
AMPTASECG	0.5
AMPTASEPG	0.5
MN6PP	0.5
R5PP	0.5
G6PP	0.5
F6PP	0.5
G3PT	0.5
CU1abcpp	0.5
CYANST	0.5
MAN6Pt6_2pp	0.5
F6Pt6_2pp	0.5
G6Pt6_2pp	0.5
GAM6Pt6_2pp	0.5
FA100ACPHi	0.5
FA80ACPHi	0.5
FA160ACPHi	0.5
FA120ACPHi	0.5
FA140ACPHi	0.5
FA161ACPHi	0.5
FA141ACPHi	0.5
THZPSN	0.5
