reaction	linear_coefficient
GLUSy	1.0
DHAK	1.0
RNTR4c	1.0
RNTR3c	1.0
RNTR1c	1.0
RNTR2c	1.0
FLDR	1.0
GLUTRR	1.0
GLUTRS	1.0
FMETTRS	1.0
GLUt4pp	1.0
UREAtpp	1.0
GLYALDtpp	1.0
GLYCtpp	1.0
FMNAT	1.0
RBFK	1.0
GLYAT	1.0
GLYC3Pt6pp	1.0
FORAMD	1.0
GLYCDH	1.0
PPDD	1.0
FORt2pp	1.0
FORtppi	1.0
LYSTRS	1.0
LYSt2pp	1.0
FRD2	1.0
FRD3	1.0
LYXI	1.0
RMI	1.0
LYXt2pp	1.0
RMNtpp	1.0
GLYCK2	1.0
M1PD	1.0
FRUK	1.0
FTHFD	1.0
FUCtpp	1.0
MACPT	1.0
MALDDH	1.0
FUM	1.0
GLYK	1.0
MALS	1.0
MAN6PI	1.0
MANAO	1.0
UAGDP	1.0
G1PACT	1.0
GLYOX	1.0
GAL1PPpp	1.0
G1PPpp	1.0
GLYTRS	1.0
MCPST	1.0
G1PTT	1.0
MCTP2App	1.0
MCTP1App	1.0
MPTG	1.0
MCTP1Bpp	1.0
MPTG2	1.0
GMHEPPA	1.0
GMPR	1.0
G1SAT	1.0
GMPS2	1.0
NTD10pp	1.0
G2PPpp	1.0
NTD7pp	1.0
PSP_Lpp	1.0
NTD1pp	1.0
NTD4pp	1.0
NTD2pp	1.0
TYRPpp	1.0
NTD8pp	1.0
NTD11pp	1.0
PTHRpp	1.0
NTD5pp	1.0
NTD3pp	1.0
NTD12pp	1.0
NTD9pp	1.0
R5PPpp	1.0
NTD6pp	1.0
G3PAT181	1.0
G3PAT160	1.0
G3PAT141	1.0
G3PAT180	1.0
G3PAT120	1.0
G3PAT161	1.0
G3PAT140	1.0
GND	1.0
GNK	1.0
GPDDA3	1.0
GPDDA4	1.0
GPDDA2	1.0
GPDDA5	1.0
GPDDA1	1.0
G3PSabcpp	1.0
G3PIabcpp	1.0
GLYC3Pabcpp	1.0
G3PCabcpp	1.0
G3PGabcpp	1.0
G3PEabcpp	1.0
GPDDA5pp	1.0
GPDDA3pp	1.0
GPDDA4pp	1.0
GPDDA1pp	1.0
GPDDA2pp	1.0
MDDCP2pp	1.0
MDDCP5pp	1.0
MDDCP3pp	1.0
MDDCP1pp	1.0
MDDCP4pp	1.0
RNDR3b	1.0
RNDR1b	1.0
PAPSR2	1.0
RNDR2b	1.0
GRXR	1.0
RNDR4b	1.0
MDDEP1pp	1.0
MDDEP2pp	1.0
MDDEP4pp	1.0
MDDEP3pp	1.0
G3PD2	1.0
G3PD7	1.0
G3PD5	1.0
G3PD6	1.0
INSK	1.0
GSNK	1.0
